level,id,parent,children,name,include,pnzRegional,path
ward,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzt,,Paraparaumu,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzt,,Waikanae,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzt,,Ōtaki,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzt,zzzzzzzzzzzzzzzzzzzx,||||,Kāpiti Coast,true,greater-wellington-regional-council-kapiti-coast-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzt
district,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzx,,Carterton,,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzu
ward,zzzzzzzzzzzzzzzzzzzs,zzzzzzzzzzzzzzzzzzzv,,Motukairangi/Eastern General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzs
ward,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzv,,Te Whanganui-a-Tara Māori Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzu
ward,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzv,,Paekawakawa/Southern General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzv
ward,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzv,,Wharangi/Onslow-Western General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzv,,Takapū/Northern General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzv,,Pukehīnau/Lambton General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzx,|||||,Wellington Central,true,greater-wellington-regional-council-poneke-wellington-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzv
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzw,,Upper Hutt City Council,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzw/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzx,,Upper Hutt,true,greater-wellington-regional-council-te-awa-kairangi-ki-uta-upper-hutt-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzx,,Parirua Māori Ward,,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzx,,Pāuatahanui General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Onepoto General Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzx,||,Porirua,true,greater-wellington-regional-council-porirua-tawa-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzs,zzzzzzzzzzzzzzzzzzzy,,City Wide,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzs
ward,zzzzzzzzzzzzzzzzzzzt,zzzzzzzzzzzzzzzzzzzy,,Central Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzt
ward,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzy,,Eastern Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzu
